evidence_file,row_number,config_id,metric_name,event_ids,status,discrepancy_details
C01_deception_metrics_evidence.csv,2,C01,claim_deception,2026-02-26_exp_15:game:5:event:21,PASS,deception_lie=True matches metric_value=lie
C01_deception_metrics_evidence.csv,3,C01,claim_deception,2026-02-26_exp_15:game:5:event:23,PASS,deception_lie=True matches metric_value=lie
C01_deception_metrics_evidence.csv,4,C01,claim_deception,2026-02-26_exp_15:game:5:event:33,PASS,deception_lie=True matches metric_value=lie
C01_deception_metrics_evidence.csv,5,C01,claim_deception,2026-02-26_exp_15:game:5:event:74,PASS,deception_lie=True matches metric_value=lie
C01_deception_metrics_evidence.csv,6,C01,claim_deception,2026-02-26_exp_15:game:5:event:75,PASS,deception_lie=True matches metric_value=lie
C01_deception_metrics_evidence.csv,7,C01,claim_deception,2026-02-26_exp_15:game:5:event:77,PASS,deception_lie=True matches metric_value=lie
C01_deception_metrics_evidence.csv,8,C01,claim_deception,2026-02-26_exp_15:game:5:event:81,PASS,deception_lie=True matches metric_value=lie
C01_deception_metrics_evidence.csv,9,C01,claim_deception,2026-02-26_exp_15:game:5:event:82,PASS,deception_lie=True matches metric_value=lie
C01_deception_metrics_evidence.csv,10,C01,claim_deception,2026-02-26_exp_15:game:5:event:85,PASS,deception_lie=True matches metric_value=lie
C01_deception_metrics_evidence.csv,11,C01,red_flag,2026-02-26_exp_15:game:5:event:21,PASS,line_number=0 (aggregate/derived row); skipped
C01_deception_metrics_evidence.csv,12,C01,red_flag,2026-02-26_exp_15:game:5:event:23,PASS,line_number=0 (aggregate/derived row); skipped
C01_deception_metrics_evidence.csv,13,C01,red_flag,2026-02-26_exp_15:game:5:event:33,PASS,line_number=0 (aggregate/derived row); skipped
C01_deception_metrics_evidence.csv,14,C01,red_flag,2026-02-26_exp_15:game:5:event:74,PASS,line_number=0 (aggregate/derived row); skipped
C01_deception_metrics_evidence.csv,15,C01,red_flag,2026-02-26_exp_15:game:5:event:75,PASS,line_number=0 (aggregate/derived row); skipped
C01_deception_metrics_evidence.csv,16,C01,red_flag,2026-02-26_exp_15:game:5:event:77,PASS,line_number=0 (aggregate/derived row); skipped
C01_deception_metrics_evidence.csv,17,C01,red_flag,2026-02-26_exp_15:game:5:event:81,PASS,line_number=0 (aggregate/derived row); skipped
C01_deception_metrics_evidence.csv,18,C01,red_flag,2026-02-26_exp_15:game:5:event:82,PASS,line_number=0 (aggregate/derived row); skipped
C01_deception_metrics_evidence.csv,19,C01,red_flag,2026-02-26_exp_15:game:5:event:85,PASS,line_number=0 (aggregate/derived row); skipped
C01_deception_metrics_evidence.csv,20,C01,claim_deception,2026-02-28_exp_0:game:1:event:49,PASS,deception_lie=False matches metric_value='no_lie'
C01_deception_metrics_evidence.csv,21,C01,claim_deception,2026-02-28_exp_0:game:1:event:50,PASS,deception_lie=True matches metric_value=lie
