config_id,run_id,metric_name,metric_value,event_ids,actor,actor_identity,actor_source,key_fields,source_file,line_number,timestamp,notes
C04,2026-02-27_exp_14,crewmate_vote_accuracy_v2,correct,2026-02-27_exp_14:game:2:event:38,Player 2: brown,Crewmate,llm,"{""target"": ""Player 7: white"", ""target_identity"": ""Impostor"", ""meeting_id"": 1, ""correct"": true, ""voter_source"": ""llm""}",C:\Users\shiven\Desktop\AmongUs\expt-logs\2026-02-27_exp_14\structured-v1\events_v1.jsonl,38,2026-02-27T09:11:04.775230Z,
C04,2026-02-27_exp_14,crewmate_vote_accuracy_v2,correct,2026-02-27_exp_14:game:2:event:39,Player 3: pink,Crewmate,llm,"{""target"": ""Player 7: white"", ""target_identity"": ""Impostor"", ""meeting_id"": 1, ""correct"": true, ""voter_source"": ""llm""}",C:\Users\shiven\Desktop\AmongUs\expt-logs\2026-02-27_exp_14\structured-v1\events_v1.jsonl,39,2026-02-27T09:11:07.456305Z,
C04,2026-02-27_exp_14,crewmate_vote_accuracy_v2,correct,2026-02-27_exp_14:game:2:event:40,Player 4: black,Crewmate,llm,"{""target"": ""Player 7: white"", ""target_identity"": ""Impostor"", ""meeting_id"": 1, ""correct"": true, ""voter_source"": ""llm""}",C:\Users\shiven\Desktop\AmongUs\expt-logs\2026-02-27_exp_14\structured-v1\events_v1.jsonl,40,2026-02-27T09:11:09.511193Z,
C04,2026-02-27_exp_14,crewmate_vote_accuracy_v2,incorrect,2026-02-27_exp_14:game:2:event:41,Player 5: green,Crewmate,llm,"{""target"": ""Player 2: brown"", ""target_identity"": ""Crewmate"", ""meeting_id"": 1, ""correct"": false, ""voter_source"": ""llm""}",C:\Users\shiven\Desktop\AmongUs\expt-logs\2026-02-27_exp_14\structured-v1\events_v1.jsonl,41,2026-02-27T09:11:18.089652Z,
C04,2026-02-27_exp_15,crewmate_vote_accuracy_v2,correct,2026-02-27_exp_15:game:3:event:34,Player 1: orange,Crewmate,llm,"{""target"": ""Player 5: purple"", ""target_identity"": ""Impostor"", ""meeting_id"": 1, ""correct"": true, ""voter_source"": ""llm""}",C:\Users\shiven\Desktop\AmongUs\expt-logs\2026-02-27_exp_15\structured-v1\events_v1.jsonl,34,2026-02-27T09:17:19.121831Z,
C04,2026-02-27_exp_15,crewmate_vote_accuracy_v2,correct,2026-02-27_exp_15:game:3:event:35,Player 2: white,Crewmate,llm,"{""target"": ""Player 4: brown"", ""target_identity"": ""Impostor"", ""meeting_id"": 1, ""correct"": true, ""voter_source"": ""llm""}",C:\Users\shiven\Desktop\AmongUs\expt-logs\2026-02-27_exp_15\structured-v1\events_v1.jsonl,35,2026-02-27T09:17:22.260333Z,
C04,2026-02-27_exp_15,crewmate_vote_accuracy_v2,correct,2026-02-27_exp_15:game:3:event:36,Player 3: yellow,Crewmate,llm,"{""target"": ""Player 5: purple"", ""target_identity"": ""Impostor"", ""meeting_id"": 1, ""correct"": true, ""voter_source"": ""llm""}",C:\Users\shiven\Desktop\AmongUs\expt-logs\2026-02-27_exp_15\structured-v1\events_v1.jsonl,36,2026-02-27T09:17:29.027331Z,
C04,2026-02-27_exp_15,crewmate_vote_accuracy_v2,correct,2026-02-27_exp_15:game:3:event:39,Player 6: lime,Crewmate,llm,"{""target"": ""Player 5: purple"", ""target_identity"": ""Impostor"", ""meeting_id"": 1, ""correct"": true, ""voter_source"": ""llm""}",C:\Users\shiven\Desktop\AmongUs\expt-logs\2026-02-27_exp_15\structured-v1\events_v1.jsonl,39,2026-02-27T09:17:41.835207Z,
C04,2026-02-27_exp_15,crewmate_vote_accuracy_v2,correct,2026-02-27_exp_15:game:3:event:113,Player 2: white,Crewmate,llm,"{""target"": ""Player 4: brown"", ""target_identity"": ""Impostor"", ""meeting_id"": 2, ""correct"": true, ""voter_source"": ""llm""}",C:\Users\shiven\Desktop\AmongUs\expt-logs\2026-02-27_exp_15\structured-v1\events_v1.jsonl,113,2026-02-27T09:21:19.646864Z,
C04,2026-02-27_exp_15,crewmate_vote_accuracy_v2,incorrect,2026-02-27_exp_15:game:3:event:114,Player 3: yellow,Crewmate,llm,"{""target"": ""Player 2: white"", ""target_identity"": ""Crewmate"", ""meeting_id"": 2, ""correct"": false, ""voter_source"": ""llm""}",C:\Users\shiven\Desktop\AmongUs\expt-logs\2026-02-27_exp_15\structured-v1\events_v1.jsonl,114,2026-02-27T09:21:23.239047Z,
